401 W 52nd Street,Parking Availability,Latitude,Longitude
Sign 1,No Parking 8AM - Midnight Except Sunday,40.7649,-73.9883
Sign 2,No Parking 8AM - Midnight Except Sunday,40.765,-73.9886
Sign 3,No Parking 8AM - Midnight Except Sunday,40.7651,-73.9889
Sign 4,No Parking 8AM - Midnight Except Sunday,40.7652,-73.989
Sign 5,No Parking 8AM - Midnight Except Sunday,40.7653,-73.9894
Sign 6,No Parking 8AM - Midnight Except Sunday,40.7654,-73.9895
Sign 7,No Parking 8AM - Midnight Except Sunday,40.7656,-73.99
Sign 8,No Parking 8AM - Midnight Except Sunday,40.7658,-73.9904
Sign 9,No Parking 8AM - 6PM Except Sunday (Single Arrow),40.7657,-73.9906
Sign 10,No Standing Except Authorized Vehicles 8AM - 6PM Mon - Fri (Single Arrow),40.7656,-73.9902
Sign 11,No Parking 8AM - 6PM Except Sunday,40.7655,-73.9899
Sign 12,No Parking 8AM - 6PM Except Sunday,40.7654,-73.9896
Sign 13,No Parking 8AM - 6PM Except Sunday,40.7653,-73.9895
Sign 14,No Parking 8AM - 6PM Except Sunday (Single Arrow),40.7652,-73.9893
Sign 15,No Standing Anytime (Single Arrow),40.7652,-73.9892
Sign 16,No Parking 8AM - 6PM Except Sunday,40.765,-73.9888
Sign 17,No Parking 8AM - 6PM Except Sunday,40.7649,-73.9885
Sign 18,No Parking 8AM - 6PM Except Sunday,40.7648,-73.9883
