id,name,address,ExtendedData,longitude,latitude
1,1 W 53 ST,"1 W 53 ST, New York, NY 10019, USA",1 rack,-73.976357,40.760789
2,100 W 57 ST,"100 W 57 ST, New York, NY 10019, USA",4 racks,-73.97739,40.764084
3,101 W 57 ST,"101 W 57 ST, New York, NY 10019, USA",1 rack,-73.97747,40.764389
4,109 W 57 ST,"109 W 57 ST, New York, NY 10019, USA",1 rack,-73.977683,40.76463
5,11 W 53 ST,"11 W 53 ST, New York, NY 10019, USA",16 racks,-73.976088,40.760538
6,110 W 51 ST,"110 W 51 ST, New York, NY 10019, USA",1 rack,-73.982974,40.761748
7,110 W 57 ST,"110 W 57 ST, New York, NY 10019, USA",1 rack,-73.9782,40.764438
8,119 W 57 ST,"119 W 57 ST, New York, NY 10019, USA",1 rack,-73.978092,40.76481
9,12 W 57 ST,"12 W 57 ST, New York, NY 10019, USA",1 rack,-73.975048,40.7634
10,120 W 57 ST,"120 W 57 ST, New York, NY 10019, USA",2 racks,-73.978478,40.764554
11,123 W 57 ST,"123 W 57 ST, New York, NY 10019, USA",1 rack,-73.978201,40.764847
12,130 W 57 ST,"130 W 57 ST, New York, NY 10019, USA",2 racks,-73.978698,40.764647
13,1301 6 AV,"1301 6 AV, New York, NY 10019, USA",1 rack,-73.979519,40.761191
14,1345 6 AV,"1345 6 AV, New York, NY 10019, USA",1 rack,-73.978488,40.76258
15,1365 6 AV,"1365 6 AV, New York, NY 10019, USA",1 rack,-73.978035,40.763208
16,1370 AV OF THE AMERICAS,"1370 AV OF THE AMERICAS, New York, NY 10019, USA",1 rack,-73.977588,40.76354
17,1381 6 AV,"1381 6 AV, Manhattan, NY 10019, USA",1 rack,-73.977689,40.763687
18,1392 6 AV,"1392 6 AV, New York, NY 10019, USA",2 racks,-73.977361,40.764084
19,1394 AV OF THE AMERICAS,"1394 AV OF THE AMERICAS, New York, NY 10019, USA",2 racks,-73.977481,40.763453
20,140 W 51 ST,"140 W 51 ST, Manhattan, NY 10019-, USA",1 rack,-73.981612,40.761205
21,140 W 57 ST,"140 W 57 ST, New York, NY 10019, USA",2 racks,-73.97895,40.764753
22,142 W 57 ST,"142 W 57 ST, New York, NY 10019, USA",3 racks,-73.979119,40.764951
23,1429 6 AV,"1429 6 AV, New York, NY 10019, USA",1 rack,-73.976679,40.765091
24,144 W 54 ST,"144 W 54 ST, New York, NY 10019-, USA",2 racks,-73.979374,40.762714
25,145 W 55 ST,"145 W 55 ST, New York, NY 10019, USA",1 rack,-73.979618,40.763664
26,148 W 51 ST,"148 W 51 ST, New York, NY 10019, USA",2 racks,-73.981942,40.761332
27,156 W 56 ST,"156 W 56 ST, Manhattan, NY 10019, USA",1 rack,-73.979294,40.764324
28,16 W 57 ST,"16 W 57 ST, New York, NY 10019, USA",1 rack,-73.975341,40.763228
29,1619 BROADWAY,"1619 BROADWAY, New York, NY 10019, USA",1 rack,-73.984649,40.761052
30,1623 BROADWAY,"1623 BROADWAY, New York, NY 10019, USA",1 rack,-73.984331,40.761131
31,1632 BROADWAY,"1632 BROADWAY, New York, NY 10019, USA",2 racks,-73.983796,40.761441
32,1633 BROADWAY,"1633 BROADWAY, Manhattan, NY 10019-, USA",2 racks,-73.984287,40.761873
33,165 W 57 ST,"165 W 57 ST, New York, NY 10019, USA",2 racks,-73.979372,40.765251
34,1653 BROADWAY,"1653 BROADWAY, New York, NY 10019, USA",1 rack,-73.983561,40.762283
35,171 W 57 ST,"171 W 57 ST, New York, NY 10019, USA",1 rack,-73.979502,40.76549
36,1710 BROADWAY,"1710 BROADWAY, New York, NY 10019, USA",1 rack,-73.982071,40.764304
37,1728 BROADWAY,"1728 BROADWAY, New York, NY 10019, USA",2 racks,-73.982242,40.764727
38,1740 BROADWAY,"1740 BROADWAY, New York, NY 10019, USA",7 racks,-73.982058,40.765294
39,1745 BROADWAY,"1745 BROADWAY, New York, NY 10019, USA",9 racks,-73.982072,40.765371
40,1760 BROADWAY,"1760 BROADWAY, New York, NY 10019, USA",5 racks,-73.981952,40.765864
41,1790 BROADWAY,"1790 BROADWAY, New York, NY 10019, USA",2 racks,-73.981524,40.766879
42,2 COLUMBUS AV,"2 COLUMBUS AV, New York, NY 10019, USA",2 racks,-73.984779,40.769233
43,200 W 51 ST,"200 W 51 ST, New York, NY 10019, USA",2 racks,-73.983705,40.762067
44,200 W 55 ST,"200 W 55 ST, Manhattan, NY 10019-, USA",1 rack,-73.981392,40.764287
45,200 W 57 ST,"200 W 57 ST, New York, NY 10019, USA",1 rack,-73.980482,40.765477
46,201 W 55 ST,"201 W 55 ST, Manhattan, NY 10019-, USA",1 rack,-73.981039,40.76426
47,201 W 57 ST,"201 W 57 ST, New York, NY 10019, USA",1 rack,-73.98009,40.765567
48,204 W 50 ST,"204 W 50 ST, New York, NY 10019, USA",2 racks,-73.984282,40.761507
49,205 W 57 ST,"205 W 57 ST, New York, NY 10019, USA",2 racks,-73.980296,40.765951
50,211 W 57 ST,"211 W 57 ST, New York, NY 10019, USA",1 rack,-73.980667,40.765937
51,215 W 57 ST,"215 W 57 ST, New York, NY 10019, USA",2 racks,-73.980701,40.76589
52,22 W 52 ST,"22 W 52 ST, New York, NY 10019, USA",3 racks,-73.977576,40.759622
53,220 W 57 ST,"220 W 57 ST, New York, NY 10019, USA",3 racks,-73.981232,40.766022
54,224 W 57 ST,"224 W 57 ST, New York, NY 10019, USA",1 rack,-73.98167,40.766028
55,225 W 55 ST,"225 W 55 ST, Manhattan, NY 10019-, USA",1 rack,-73.982192,40.764752
56,225 W 57 ST,"225 W 57 ST, New York, NY 10019, USA",1 rack,-73.98135,40.766104
57,23 W 56 ST,"23 W 56 ST, New York, NY 10019, USA",1 rack,-73.975801,40.762898
58,24 W 55 ST,"24 W 55 ST, Manhattan, NY 10019-, USA",2 racks,-73.976223,40.76213
59,245 W 51 ST,"245 W 51 ST, New York, NY 10019, USA",1 rack,-73.984834,40.762688
60,250 W 54 ST,"250 W 54 ST, New York, NY 10019, USA",2 racks,-73.983448,40.764426
61,251 W 51 ST,"251 W 51 ST, New York, NY 10019, USA",2 racks,-73.984993,40.762892
62,28 W 57 ST,"28 W 57 ST, New York, NY 10019, USA",1 rack,-73.975628,40.763749
63,29 W 57 ST,"29 W 57 ST, New York, NY 10019, USA",1 rack,-73.9756,40.763964
64,30 W 54 ST,"30 W 54 ST, New York, NY 10019, USA",3 racks,-73.977542,40.761937
65,300 W 55 ST,"300 W 55 ST, New York, NY 10019, USA",1 rack,-73.984122,40.765153
66,300 W 56 ST,"300 W 56 ST, New York, NY 10019, USA",2 racks,-73.983404,40.76605
67,300 W 57 ST,"300 W 57 ST, New York, NY 10019, USA",4 racks,-73.983564,40.766729
68,301 W 53 ST,"301 W 53 ST, New York, NY 10019, USA",1 rack,-73.984764,40.764199
69,301 W 55 ST,"301 W 55 ST, New York, NY 10019, USA",3 racks,-73.984101,40.765622
70,301 W 57 ST,"301 W 57 ST, New York, NY 10019, USA",3 racks,-73.983051,40.76723
71,302 W 51 ST,"302 W 51 ST, New York, NY 10019, USA",1 rack,-73.986159,40.763019
72,305 W 52 ST,"305 W 52 ST, New York, NY 10019, USA",1 rack,-73.985541,40.7638
73,305 W 56 ST,"305 W 56 ST, New York, NY 10019, USA",1 rack,-73.983754,40.766228
74,322 W 57 ST,"322 W 57 ST, New York, NY 10019, USA",1 rack,-73.984016,40.767186
75,33 W 57 ST,"33 W 57 ST, New York, NY 10019, USA",1 rack,-73.975741,40.764022
76,333 W 57 ST,"333 W 57 ST, New York, NY 10019, USA",3 racks,-73.984424,40.767688
77,345 W 58 ST,"345 W 58 ST, New York, NY 10019, USA",2 racks,-73.984702,40.768448
