id,signInfo,lon,lat
1,No Parking 8AM - Midnight Except Sunday,-73.9888832,40.76511815
2,No Parking 8AM - Midnight Except Sunday,-73.9890039,40.76516894
3,No Parking 8AM - Midnight Except Sunday,-73.98935795,40.76531724
4,No Parking 8AM - Midnight Except Sunday,-73.98954034,40.76538631
5,No Parking 8AM - Midnight Except Sunday,-73.99004728,40.76559961
6,No Parking 8AM - Midnight Except Sunday,-73.99043888,40.76576822
7,No Parking 8AM - 6PM Except Sunday (Single Arrow),-73.99058104,40.76574791
8,No Standing Except Authorized Vehicles 8AM - 6PM Mon - Fri (Single Arrow),-73.99023503,40.76560571
9,No Parking 8AM - 6PM Except Sunday,-73.98991585,40.76548585
10,No Parking 8AM - 6PM Except Sunday,-73.98961276,40.76536802
11,No Parking 8AM - 6PM Except Sunday,-73.98950547,40.76532333
12,No Parking 8AM - 6PM Except Sunday (Single Arrow),-73.98931772,40.76523395
13,No Standing Anytime (Single Arrow),-73.98921579,40.76520551
14,No Parking 8AM - 6PM Except Sunday,-73.98883224,40.76504502
15,No Parking 8AM - 6PM Except Sunday,-73.98825824,40.76480733
16,No Parking 8AM - 6PM Except Sunday,-73.98850769,40.76491907
17,No Parking 8AM - Midnight Except Sunday,-73.98828506,40.76487031
18,No Parking 8AM - Midnight Except Sunday,-73.9885667,40.76499017
19,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 8AM-7PM MON THRU FRI (SINGLE ARROW),-73.9955914,40.76469357
20,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99526417,40.76487234
21,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 8AM-7PM MON THRU FRI,-73.99540901,40.76498611
22,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.9951086,40.76507955
23,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 8AM-7PM MON THRU FRI (SINGLE ARROW),-73.99521053,40.76520144
24,NO PARKING 8AM-6PM MON THRU FRI (SINGLE ARROW),-73.99494767,40.76526645
25,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN W/ SINGLE ARROW,-73.9951086,40.76534365
26,NO PARKING 8AM-6PM MON THRU FRI,-73.99480283,40.76548991
27,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN,-73.99484038,40.76570931
28,NO PARKING 8AM-6PM MON THRU FRI (SINGLE ARROW),-73.99460971,40.76577838
29,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM EXCEPT SUNDAY,-73.99453461,40.76587183
30,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING,-73.99469018,40.76593684
31,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.9944005,40.76604247
32,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY,-73.99448097,40.7661928
33,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN,-73.99435759,40.76637157
34,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99412155,40.76644064
35,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99398744,40.76659096
36,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY,-73.9939338,40.76692818
37,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.9936924,40.76701756
38,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99362803,40.76709273
39,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99366021,40.76712726
40,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.9933759,40.7674726
41,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY,-73.99348855,40.76752339
42,NO PARKING ANYTIME,-73.99330348,40.76775294
43,"	STAR AVO POLICE DEPARTMENT",-73.99323642,40.76783419
44,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.9930889,40.76790529
45,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99276972,40.76832376
46,"	STAR AVO POLICE DEPARTMENT",-73.99302721,40.768145
47,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW",-73.9929682,40.76822828
48,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY,-73.99280727,40.76843752
49,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99267048,40.76848627
50,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY,-73.9925015,40.76885801
51,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99238348,40.76889458
52,NO STANDING ANYTIME,-73.99237543,40.76903474
53,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99220645,40.76914037
54,"	NO STANDING W/ SINGLE ARROW BUS & HANDICAP (SYMBOLS) HARD HAT TEMPORARY CONSTRUCTION REGULATION",-73.99205893,40.76946742
55,NO PARKING (SANITATION BROOM SYMBOL) 8AM-8:30AM EXCEPT SUNDAY,-73.99193287,40.7695182
56,"	NO STANDING ANYTIME (SINGLE ARROW)",-73.99188727,40.76969899
57,NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES,-73.99177462,40.76972743
58,NO ENGINE IDLING NO ENGINE IDLING MAX FINE,-73.99157614,40.77014183
59,"	NO ENGINE IDLING NO ENGINE IDLING MAX FINE",-73.99153322,40.77018448
60,"	NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES",-73.99148494,40.77011339
61,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,-73.99114698,40.77055825
62,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN,-73.99124891,40.77059887
63,NO PARKING 8AM-6PM MON THRU FRI,-73.990978,40.77080404
64,NO PARKING (SANITATION BROOM SYMBOL) 7:30-8AM EXCEPT SUN,-73.9910531,40.77084669
65,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY,-73.99092704,40.77102342
66,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW",-73.99069637,40.77134843
67,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW",-73.99065614,40.77139515
68,NO STANDING ANYTIME,-73.99064541,40.77129968
69,NO STANDING ANYTIME,-73.99057031,40.77140124
70,NO STANDING ANYTIME,-73.99046302,40.77167953
71,NO PARKING (SANITATION BROOM SYMBOL) MONDAY TUESDAY THURSDAY FRIDAY 7:30AM-8AM,-73.99038792,40.7716389
72,NO STANDING ANYTIME,-73.99024844,40.77195984
73,NO PARKING (SANITATION BROOM SYMBOL) MONDAY TUESDAY THURSDAY FRIDAY 7:30AM-8AM,-73.98998559,40.77217719
74,NO PARKING 8AM-6PM MON THRU FRI,-73.98991317,40.77216906
75,NO STANDING 7AM-4PM SCHOOL DAYS,-73.9898783,40.77219953
76,NO STANDING 7AM-4PM SCHOOL DAYS (SINGLE ARROW),-73.98981392,40.77217313
77,NO PARKING 8AM-6PM MON THRU FRI,-73.98978174,40.77211219
78,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM TUES & FRI,-73.98749113,40.77112701
79,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.98750454,40.7712042
80,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.98773253,40.77129561
81,NO PARKING 8AM-6PM MON THRU FRI (SINGLE ARROW),-73.988159,40.7714703
82,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM TUES & FRI,-73.98805171,40.77138093
83,NO PARKING 8AM-6PM MON THRU FRI,-73.98876786,40.77174453
84,NO PARKING 8AM-6PM MON THRU FRI (SINGLE ARROW),-73.98869812,40.77165109
85,NO PARKING 8AM-6PM MON THRU FRI,-73.98908705,40.7718664
86,NO PARKING 8AM-6PM MON THRU FRI,-73.98916751,40.77184609
87,NO STANDING 4PM-7PM MON THRU FRI,-73.98730338,40.7708792
88,NO STANDING 4PM-7PM MON THRU FRI,-73.98737848,40.77077763
89,NO STANDING 7AM-10AM MON THRU FRI,-73.98721486,40.7708792
90,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW",-73.98734093,40.77070857
91,NO STANDING 4PM-7PM MON THRU FRI,-73.9876011,40.77046074
92,NO STANDING 4PM-7PM MON THRU FRI,-73.98768693,40.77035105
93,NO STANDING 7AM-7PM MON THRU FRI (ARROW),-73.98758501,40.7703673
94,NO STANDING ANYTIME (SINGLE ARROW),-73.98779154,40.77019667
95,NO STANDING ANYTIME (SINGLE ARROW),-73.98793906,40.77000776
96,NO STANDING 4PM-7PM MON THRU FRI,-73.98801148,40.76991025
97,NO STANDING 7AM-7PM MON THRU FRI,-73.98779422,40.77008698
98,NO STANDING MONDAY-FRIDAY 4PM-7PM,-73.98816705,40.76968681
99,NO STANDING MONDAY-FRIDAY 7AM-10AM,-73.98816705,40.76958321
100,NO STANDING MONDAY-FRIDAY 4PM-7PM,-73.98848087,40.76927241
101,NO STANDING MONDAY-FRIDAY 7AM-10AM,-73.98848087,40.7691485
102,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.98865789,40.76904287
103,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING",-73.98857474,40.76900833
104,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.98897976,40.768598
105,NO STANDING 7AM-10AM MON THRU FRI,-73.98893148,40.76852893
106,NO STANDING 7AM-10AM MON THRU FRI W/ SINGLE ARROW,-73.98873031,40.76881129
107,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.98921043,40.76827501
108,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.98912996,40.76825266
109,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.98940086,40.76801296
110,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW",-73.98932844,40.76798858
111,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.98963422,40.76769403
112,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.98955911,40.76766762
113,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.98992121,40.76729587
114,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.98985684,40.7672593
115,"	STAR AVO POLICE DEPARTMENT",-73.9900285,40.76714758
116,STAR AVO POLICE DEPARTMEN,-73.990345,40.76671691
117,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99026453,40.76668035
118,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99013311,40.76686724
119,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.99050057,40.76650361
120,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING,-73.99044693,40.76643657
121,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.99068832,40.76623952
122,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99061322,40.76620092
123,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.99089754,40.76595715
124,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.9909485,40.76588808
125,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99087608,40.76585355
126,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.99116576,40.76558133
127,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99107456,40.76558133
128,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.99141252,40.76525426
129,NO STANDING 4PM-7PM EXCEPT SUNDAY,-73.99169147,40.76487031
130,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99148762,40.76502267
131,NO STANDING 4-7PM EXCEPT SUNDAY (ARROW),-73.99186313,40.76464685
132,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99175853,40.76461028
133,NO STANDING 4-7PM EXCEPT SUNDAY,-73.99210989,40.76429336
134,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW",-73.99203479,40.76426695
135,NO STANDING MONDAY-FRIDAY 7AM-10AM 4PM-7PM,-73.99200261,40.76431368
136,NO PARKING 7AM-7PM EXCEPT SUNDAY (ARROW),-73.99231642,40.76402317
137,NO STANDING 7-10AM 4-7PM MON THRU FRI,-73.9922601,40.76394597
138,NO STANDING 4-7PM EXCEPT SUNDAY,-73.9925015,40.76376314
139,NO STANDING 7-10AM 4-7PM MON THRU FRI,-73.99240494,40.76374892
140,NO STANDING 4-7PM EXCEPT SUNDAY,-73.99271607,40.76346044
141,NO STANDING 7-10AM 4-7PM MON THRU FRI (ARROW),-73.99263024,40.7634259
142,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI,-73.9923808,40.76406583
143,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM MON & THURS,-73.99236202,40.76412272
144,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI,-73.99272949,40.76420195
145,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM MON & THURS W/ SINGLE ARROW,-73.99267852,40.7642507
146,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM MON & THURS,-73.99490476,40.76518519
147,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM MON & THURS,-73.99422616,40.76490281
148,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI,-73.99442464,40.76491297
149,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM MON & THURS,-73.9938131,40.76474436
150,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI,-73.9937675,40.76463263
151,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM MON & THURS,-73.99329275,40.76451073
152,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI,-73.99333566,40.76444979
153,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM MON THRU FRI,-73.99215817,40.76476264
154,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM EXCEPT SUNDAY,-73.99210453,40.76486828
155,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM MON THRU FRI,-73.9944756,40.76574182
156,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM MON THRU FRI (ARROW),-73.99420738,40.76564024
157,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM EXCEPT SUNDAY,-73.99404645,40.76566868
158,NO PARKING ANYTIME,-73.99399817,40.76555086
159,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM MON THRU FRI,-73.99389088,40.76550616
160,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM EXCEPT SUNDAY,-73.99340808,40.76540865
161,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM MON THRU FRI,-73.99341881,40.76530302
162,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM EXCEPT SUNDAY,-73.99287701,40.76518113
163,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM MON THRU FRI,-73.99288774,40.76507549
164,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM EXCEPT SUNDAY,-73.99250686,40.76502674
165,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 7AM-7PM MON THRU FRI,-73.99244249,40.76489266
166,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.9915359,40.76544116
167,NO PARKING 7AM-4PM SCHOOL DAYS,-73.99179339,40.76545335
168,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.99206698,40.76567275
169,NO PARKING 7AM-4PM SCHOOL DAYS,-73.99229765,40.76567681
170,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.99263024,40.76590027
171,NO PARKING 7AM-4PM SCHOOL DAYS W/SINGLE ARROW,-73.99272144,40.76585151
172,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.99301648,40.76605466
173,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM TUES & FRI,-73.99308622,40.76599372
174,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.99323642,40.76614811
175,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM TUES & FRI,-73.99332762,40.76610748
176,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.99346173,40.76624968
177,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM TUES & FRI,-73.99354219,40.76620092
178,NO PARKING (SANITATION BROOM SYMBOL) 9-10:30AM MON & THURS,-73.99376214,40.76637969
179,NO PARKING 8AM-6PM MON THRU FRI,-73.9911899,40.76607497
180,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99124086,40.76602622
181,NO STANDING EXCEPT TRUCKS LOADING & UNLOADING 8AM-6PM EXCEPT SUNDAY (SINGLE ARROW),-73.99147153,40.76612779
182,NO PARKING 8AM-6PM EXCEPT SUNDAY (SINGLE ARROW),-73.99164051,40.76619077
183,NO PARKING 8AM-6PM MON THRU FRI,-73.99164587,40.76626999
184,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99210721,40.76639188
185,NO PARKING 8AM-6PM MON THRU FRI,-73.99215817,40.76647923
186,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99273217,40.76666613
187,NO PARKING 8AM-6PM MON THRU FRI,-73.99265707,40.7666966
188,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99362266,40.76704194
189,NO PARKING 8AM-6PM MON THRU FRI,-73.99313718,40.76688958
190,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99311304,40.76681645
191,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99303526,40.76761074
192,NO PARKING MONDAY-FRIDAY 8AM-6PM,-73.99289578,40.7676209
193,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99252027,40.76738728
194,NO STANDING ANYTIME,-73.99258733,40.76749698
195,"	STAR AVO POLICE DEPARTMENT",-73.99227619,40.76736291
196,STAR AVO POLICE DEPARTMENT,-73.99208307,40.76727962
197,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99158955,40.76701147
198,STAR AVO POLICE DEPARTMENT,-73.99175584,40.76714351
199,"	NO STANDING ANYTIME",-73.99069369,40.7666905
200,"	NO STANDING ANYTIME",-73.99081439,40.76674535
201,STAR AVO POLICE DEPARTMENT,-73.99090827,40.76678192
202,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99105042,40.7667677
203,STAR AVO POLICE DEPARTMENT,-73.99120599,40.76691193
204,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 10A M-11:30AM,-73.99049252,40.76744213
205,TRUCK TRUCK LOADING ONLY MONDAY-FRIDAY 8AM-6PM,-73.99028331,40.76735681
206,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99048448,40.76737306
207,TRUCK TRUCK LOADING ONLY MONDAY-FRIDAY 8AM-6PM,-73.99079829,40.76756808
208,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 10A M-11:30AM,-73.99099946,40.76765746
209,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 10AM-11:30AM,-73.99116576,40.76772856
210,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99117649,40.76765137
211,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.99096191,40.76756605
212,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 10A M-11:30AM,-73.9918685,40.76802718
213,"	NO PARKING ANYTIME",-73.99164587,40.76793576
214,NO STANDING ANYTIME,-73.99196506,40.76799264
215,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 10AM-11:30AM,-73.99212867,40.76813687
216,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,-73.99210185,40.76806171
217,BUS MTA BUS LAYOVER ONLY NO ENGINE IDLING MAX FINE $2000,-73.99265975,40.76830345
218,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 10AM-11:30AM,-73.9926061,40.76835017
219,BUS MTA BUS LAYOVER ONLY NO ENGINE IDLING MAX FINE $2000,-73.99245858,40.76821406
220,NO PARKING 7AM-7PM MON THRU FRI,-73.99213672,40.76886411
221,NO STANDING 5PM-7PM MON THRU FRI,-73.9920187,40.76888239
222,NO STANDING 5PM-7PM MON THRU FRI,-73.9916271,40.76871175
223,NO PARKING 7AM-4PM SCHOOL DAYS W/SINGLE ARROW,-73.99157614,40.7686305
224,NO PARKING 7AM-7PM MON THRU FRI,-73.9914903,40.76859596
225,NO PARKING 7AM-7PM MON THRU FRI,-73.99115235,40.76844564
226,NO STANDING 5PM-7PM MON THRU FRI,-73.99110943,40.76850049
227,NO STANDING ANYTIME (SINGLE ARROW),-73.99085999,40.76831766
228,NO PARKING 7AM-7PM MON THRU FRI (ARROW),-73.99076343,40.7682811
229,NO STANDING ANYTIME (SINGLE ARROW),-73.99083048,40.7683847
230,NO STANDING 5PM-7PM MON THRU FRI (SINGLE ARROW),-73.99062127,40.76829329
231,NO STANDING 5PM-7PM MON THRU FRI,-73.99054348,40.76825266
232,NO PARKING 7AM-7PM MON THRU FRI,-73.99054885,40.76818156
233,NO STANDING 5PM-7PM MON THRU FRI,-73.99012774,40.76809218
234,TAXI RELIEF STAND 1 HOUR LIMIT NO PARKING 7AM-4PM EXCEPT TAXIS W/ SINGLE ARROW,-73.99008483,40.7680028
235,NO PARKING 7AM-7PM MON THRU FRI (ARROW),-73.98999095,40.7679703
236,NO PARKING 7AM-7PM MON THRU FRI,-73.98957789,40.76779153
237,NO STANDING 5PM-7PM MON THRU FRI,-73.98961276,40.76787685
238,NO STANDING 8AM-9:30AM MON THRU FRI,-73.98941696,40.76861018
239,NO STANDING 8AM-9:30AM MON THRU FRI,-73.9894706,40.7685594
240,"	NO STANDING ANYTIME (SINGLE ARROW)",-73.98995072,40.76875644
241,NO STANDING 8AM-9:30AM MON THRU FRI,-73.98984879,40.76871785
242,NO STANDING 8AM-9:30AM MON THRU FRI (SINGLE ARROW),-73.99010092,40.76881738
243,NO STANDING 8AM-9:30AM MON THRU FRI,-73.99045497,40.76895552
244,NO STANDING 8AM-9:30AM MON THRU FRI,-73.99025112,40.76893927
245,NO STANDING 8AM-9:30AM MON THRU FRI (SINGLE ARROW),-73.99085999,40.76913631
246,NO STANDING ANYTIME (SINGLE ARROW),-73.9907822,40.76910381
247,NO STANDING 8AM-9:30AM MON THRU FRI,-73.9907822,40.7691749
248,NO STANDING 8AM-9:30AM MON THRU FRI,-73.99110943,40.76924397
249,NO STANDING 8AM-9:30AM MON THRU FRI,-73.99139374,40.76942273
250,NO STANDING 8AM-9:30AM MON THRU FRI,-73.99168879,40.76955071
251,NO STANDING ANYTIME,-73.99114966,40.77021495
252,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,-73.99107188,40.77008901
253,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,-73.99104506,40.77007682
254,NO STANDING ANYTIME,-73.99084121,40.77008698
255,"	NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES W/ SINGLE ARROW",-73.99022162,40.76983916
256,NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES,-73.99033695,40.76978634
257,NO STANDING ANYTIME (SINGLE ARROW),-73.9904657,40.76983306
258,NO STANDING ANYTIME,-73.99076879,40.76996104
259,NO STANDING ANYTIME,-73.99067223,40.76992854
260,NO STANDING ANYTIME,-73.99053544,40.7699651
261,NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES,-73.98985952,40.76968274
262,NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES,-73.99011165,40.76968884
263,NO PARKING 8AM-8PM INCLUDING SUNDAY W/SINGLE ARROW,-73.9893955,40.76947555
264,NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES,-73.98973078,40.76952633
265,NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES W/ SINGLE ARROW,-73.98959666,40.76946539
266,"	NO PARKING ANYTIME (SINGLE ARROW)",-73.98941427,40.76939835
267,NO PARKING 8AM-6PM MON THRU FRI (SINGLE ARROW),-73.98926944,40.76942679
268,"	BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW",-73.98890734,40.7692846
269,NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES,-73.98913532,40.76928663
270,"	NO STANDING ANYTIME EXCEPT VEHICLES WITH N Y P LICENSE -PLATES",-73.98878396,40.76914443
271,NO PARKING 8AM-6PM EXCEPT SUNDAY,-73.98853183,40.76992041
272,NO STANDING 7AM-7PM MON THRU FRI EXCEPT AUTHORIZED VEHICLES,-73.98848355,40.76997729
273,NO STANDING 7AM-7PM MON THRU FRI EXCEPT AUTHORIZED VEHICLES,-73.98832798,40.76990416
